Author,P,T,Type of liquid,Type of Gas,DenL,DenG,VisL,VisG,ST,ID,Roughness,Ang,L/D,Vsl,Vsg,Flow_label
1982_Ova,101794.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,1.0,,0.0063,16.0,SW
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0512,0,0.0,464.0,0.205158,0.14943,I
1982_Ova,102720.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,15.0,,0.0093194,2.41456,I
2001_Man,3147.1,52.2,Oil,Nat Gas,794.41100813841,23.69,0.00321786309303,1.291e-05,0.015,0.0549,0,1.03,1912.6,0.143385947644688,0.491998289571916,I
1982_Ova,101359.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,0.0,,4.0,0.6,DB
1982_Ova,102619.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,30.0,,1.54556,0.0393081,I
1982_Ova,101740.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,0.5,,0.1,1.0,I
1982_Ova,103015.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,-10.0,,0.06,10.0,SW
1982_Ova,103480.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,-90.0,,0.367543,0.370759,A
2003_ Pl,2060.0,26.9,Water,Nitrogen,1000.0,23.44,0.001,2.694e-06,0.07,0.1064,0,0.0,,5.6444,0.1055,DB
2001_Man,1450.3,50.0,Oil,Nat Gas,802.620696272409,9.751,0.00321786309303,1.291e-05,0.015,0.0549,0,90.0,1912.6,0.14765625917171,3.4945900480174,I
1982_Ova,103465.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,-90.0,,0.0944804,0.0497202,A
1982_Ova,103638.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,50.0,,0.103518,0.0374424,I
1982_Ova,104298.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,90.0,,0.643025,0.0392536,B
2007_Ome,9000.0,30.0,Naphtha,Nitrogen,700.5,102.5,0.000325,1.93e-05,0.013,0.189,0,90.0,275.1,0.00396118,0.109765,I
1982_Ova,102785.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,20.0,,0.0985352,0.095885,I
1982_Ova,103518.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,-90.0,,2.42394,6.51026,I
1982_Ova,104231.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,90.0,,0.150992,0.154537,I
1982_Ova,103238.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,-90.0,,2.5551,0.160403,DB
1982_Ova,102181.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,10.0,,0.01,6.3,I
1982_Ova,103674.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,50.0,,0.10728,0.974199,I
1982_Ova,101593.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,0.25,,0.04,25.0,A
2003_ Pl,2060.0,26.9,Water,Nitrogen,1000.0,23.44,0.001,2.694e-06,123.07,0.1064,0,1.0,,0.546078,0.242212,I
1982_Ova,103902.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,-80.0,,4.26584,6.37536,DB
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0258,0,-5.0,931.0,1.41124,0.86889,I
1982_Ova,102097.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,5.0,,0.25,16.0,A
1982_Ova,104057.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,85.0,,0.0634095,9.72762,I
1982_Ova,102178.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,10.0,,1.0,4.0,I
2003_ Pl,2060.0,26.9,Water,Nitrogen,1000.0,23.44,0.001,2.694e-06,168.07,0.1064,0,3.0,,3.3489,2.05352,DB
1982_Ova,103995.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,-80.0,,0.156348,16.5029,A
1982_Ova,101405.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,0.0,,0.06,0.25,SS
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0512,0,9.0,464.0,0.484204,0.0992161,I
1982_Ova,101608.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,0.25,,1.6,0.025,I
1982_Ova,103811.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,90.0,,1.57362,0.967343,I
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0763,0,9.0,313.0,0.049026599999987,0.102894,A
1982_Ova,103256.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,-90.0,,0.0939862,0.102276,A
1982_Ova,102319.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,10.0,,0.006,0.6,I
1997_N. ,-80.6,-256.0,H-liq,H-gas,77.0416024653313,0.1254,1.16508037712477e-05,5.066e-07,0.07,0.00874,0,1.5,,0.0088012,0.25671,I
1982_Ova,104079.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,85.0,,1.76713,6.56984,I
1982_Ova,103706.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,70.0,,0.930834,15.1865,I
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0258,0,0.0,931.0,0.119709,2.86761,I
1982_Ova,103674.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,70.0,,0.0237354,24.3076,A
1982_Ova,102649.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,30.0,,0.15178,6.27226,I
2003_ Pl,2060.0,26.9,Water,Nitrogen,1000.0,23.44,0.001,2.694e-06,148.07,0.1064,0,1.0,,0.080516,0.160088,I
1982_Ova,101353.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,0.0,,4.0,0.025,DB
1982_Ova,104162.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,90.0,,3.70551,0.991394,DB
1982_Ova,101962.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,1.0,,2.5,6.3,I
2003_Abd,592.0,35.0,Water,Nitrogen,1000.0,6.469,0.001,2.694e-06,0.07,0.1064,0,3.0,,5.81142,5.48102,DB
1982_Ova,101891.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,2.0,,0.025,10.0,SW
1982_Ova,102164.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,10.0,,4.0,1.0,I
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0258,0,9.0,931.0,0.601627,0.87822,I
1982_Ova,103692.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,50.0,,0.0096901,3.80953,I
1999_Men,29.4,24.4,Oil,Air,884.563692009423,1.53,0.005041113727597,1.9e-05,0.03,0.0501,0,-2.0,8383.2,0.0017,10.4,SW
1982_Ova,102329.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,10.0,,0.01,0.1,I
1982_Ova,102026.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,2.0,,1.6,0.4,I
2001_Mat,,,Oil,Air,879.8,1.3,0.483,1.85e-05,0.03,0.0508,0,0.0,,0.009763413732325,24.9157619225234,A
2001_Mat,,,Oil,Air,879.8,1.3,0.483,1.85e-05,0.03,0.0508,0,0.0,,0.397050008536475,1.53548968850304,I
2003_Abd,490.0,35.0,Water,Air,1000.0,5.516,0.001,3.354e-06,0.07,0.0549,0,0.0,,0.0188428,1.65482,SW
2003_Abd,490.0,35.0,Water,Air,1000.0,5.516,0.001,3.354e-06,0.07,0.0549,0,0.0,,0.737561,3.16228,I
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0258,0,-5.0,931.0,3.02986,0.0848973,DB
1982_Ova,102442.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,20.0,,1.56546,0.0038716,I
1982_Ova,101885.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,1.0,,0.15,16.0,A
1982_Ova,104016.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,80.0,,0.385423,0.0982034,B
1982_Ova,103886.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,80.0,,2.43623,0.174388,DB
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0763,0,0.0,313.0,0.0490266,0.102894,SS
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0258,0,5.0,931.0,0.116099,0.237229,I
1982_Ova,103549.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,-80.0,,0.967037,0.374793,A
1997_Rob,270.0,20.0,Oil,CO2,1025.0,5.02,0.001,1.6e-05,0.07,0.0972,0,2.0,185.0,1.00759,6.99723,I
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0512,0,0.0,464.0,0.453525,0.561709,I
